,degree,closeness,betweenness,eigenvector,sum
CDKN2B,0.017964071856287428,0.22734619257061098,0.0,0.013155154003876504,0.2584654184307749
CYP19A1,0.011976047904191617,0.23677529733160407,0.0,0.007636422745690296,0.256387767981486
KDR,0.023952095808383235,0.2167942595821016,0.0,0.015271561531970306,0.2560179169224551
MAP2K4,0.011976047904191617,0.23407853995880673,0.0005975663258393956,0.007412447701447815,0.25406460189028557
KDM6A,0.017964071856287428,0.20801716405246187,0.009378832696053675,0.0033044551683516594,0.2386645237731546
MAP3K1,0.017964071856287428,0.2092881446882203,0.00039486902777355516,0.010285805589999246,0.23793289116228053
DNMT3A,0.011976047904191617,0.2092881446882203,0.011303818547163183,0.003073492626232972,0.23564150376580806
KAT6A,0.017964071856287428,0.20268339061521926,0.011384929269641773,0.0013496594894852533,0.2333820512306337
AFDN,0.011976047904191617,0.20843910556169606,0.0,0.009767364546129495,0.2301825180120172
FGFR4,0.011976047904191617,0.20843910556169606,0.0,0.009767364546129495,0.2301825180120172
NF1,0.011976047904191617,0.20843910556169606,0.0,0.009767364546129495,0.2301825180120172
POLD4,0.017964071856287428,0.19610778443113772,0.0,0.01547193582836468,0.22954379211578982
APC,0.017964071856287428,0.19761630584983877,0.010100251644949725,0.002190742447266694,0.22787137179834263
TCF7L2,0.011976047904191617,0.20843910556169606,0.0014477167779412478,0.0019796285975978646,0.22384249884142682
TBX3,0.005988023952095809,0.21408433133732532,0.0,0.003517706110383684,0.2235900613998048
MITF,0.005988023952095809,0.21408433133732532,0.0,0.003517706110383684,0.2235900613998048
NFATC2,0.005988023952095809,0.21408433133732532,0.0,0.003517706110383684,0.2235900613998048
CDC73,0.011976047904191617,0.19100460788460255,0.01861337565832191,0.001347997272314351,0.22294202871943045
SUZ12,0.011976047904191617,0.20759692735740637,0.0,0.003289348236111107,0.2228623234977091
PREX2,0.005988023952095809,0.20717838516515355,0.0,0.0044657964208785015,0.21763220553812784
FKBP1A,0.011976047904191617,0.18284782747671915,0.01861337565832191,0.0004727558408774951,0.2139100068801102
RXRA,0.017964071856287428,0.190650239409863,4.328692013563235e-05,0.0028367785743112417,0.21149437676059732
TBL1XR1,0.017964071856287428,0.18959497978213313,0.0015636103177533423,0.0020668686149076755,0.21118953057108159
ARID1B,0.005988023952095809,0.20031282464311143,0.0,0.00267630314419691,0.20897715173940415
PAX5,0.011976047904191617,0.18515401629174083,0.0073817019780514454,0.00042305473492502103,0.2049348209089089
